Handle,Title,Vendor,Type,Variant SKU,Image Src
sheet-aluminum,Sheet Aluminum,Estrella Foothills High,Academics,AZ-008-002-054-041-836,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-03-02_at_10.57.00_AM.png?v=1425316505
steel-snips,Steel Snips,Estrella Foothills High,Academics,AZ-008-002-054-041-835,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-03-02_at_10.56.45_AM.png?v=1425316360
glue-sticks,Glue Sticks,Paradise Valley,Arts,AZ-008-016-048-066-834,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-26_at_11.58.45_AM.png?v=1424973819
drive-motor,Drive Motor,Estrella Foothills High,Academics,AZ-008-002-054-041-723,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-26_at_11.27.25_AM.png?v=1424972669
fleece-interfacing,Fleece Interfacing,Paradise Valley,Arts,AZ-008-016-048-066-833,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-24_at_5.03.42_PM.png?v=1424819165
fabric-1,Fabric,Paradise Valley,Arts,AZ-008-016-048-066-659,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-24_at_5.03.36_PM.png?v=1424819042
zippers-pack-of-5,"Zippers, Pack of 5",Paradise Valley,Arts,AZ-008-016-048-066-832,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-24_at_4.55.00_PM.png?v=1424818802
puella-magi-madoka-magica-box-set,Puella Magi Madoka Magica Box Set,Metro Tech,Arts,AZ-008-018-013-128-831,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-23_at_12.30.30_PM.png?v=1424716444
womens-official-ffa-jacket,Women's Official FFA Jacket,Paradise Valley,Activities,AZ-008-016-048-026-443,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-23_at_12.04.39_PM.png?v=1424715645
mens-official-ffa-jacket,Men's Official FFA Jacket,Paradise Valley,Activities,AZ-008-016-048-026-442,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-23_at_12.04.30_PM.png?v=1424715471
official-ffa-jacket-set-of-10,"Official FFA Jacket, Set of 10",Paradise Valley,Activities,AZ-008-016-048-026-690,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-23_at_11.59.26_AM.png?v=1424715220
creative-poster,Creative Poster,McClintock High,Arts,AZ-008-022-020-107-830,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-23_at_11.35.32_AM.png?v=1424713163
writing-poster,Writing Poster,McClintock High,Arts,AZ-008-022-020-107-829,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-23_at_11.31.21_AM.png?v=1424712842
inspirational-poster,Inspirational Poster,McClintock High,Arts,AZ-008-022-020-107-382,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-23_at_11.20.32_AM.png?v=1424712447
weight-bar,Weight Bar,Paradise Valley,Athletics,AZ-008-016-048-028-828,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-18_at_10.38.28_AM.png?v=1424280074
weight-bench,Weight Bench,Paradise Valley,Athletics,AZ-008-016-048-028-827,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-18_at_10.38.12_AM.png?v=1424279823
weight-rack,Weight Rack,Paradise Valley,Athletics,AZ-008-016-048-028-826,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-18_at_10.38.05_AM.png?v=1424279656
magical-forest-backdrop,Magical Forest Backdrop,Phoenix Collegiate Academy,Arts,AZ-008-026-017-071-825,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-17_at_2.46.11_PM.png?v=1424209690
inline-wheels-arcadia-high,LED Wheels,Arcadia High,Athletics,AZ-008-021-046-139-773,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-13_at_1.05.47_PM.png?v=1423858105
lumber-1,Lumber,Phoenix Collegiate Academy,Arts,AZ-008-026-017-071-185,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-13_at_11.50.41_AM.png?v=1423855040
greek-columns,Greek Columns,Phoenix Collegiate Academy,Arts,AZ-008-026-017-071-823,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-13_at_11.43.17_AM.png?v=1423854660
greek-toga,Toga,Phoenix Collegiate Academy,Arts,AZ-008-026-017-071-822,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-13_at_11.40.54_AM.png?v=1423854260
stage-backdrop,Starry Night Backdrop,Phoenix Collegiate Academy,Arts,AZ-008-026-017-071-821,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-13_at_11.38.29_AM.png?v=1423853911
donkey-ears-and-teeth,Donkey Ears & Teeth,Phoenix Collegiate Academy,Arts,AZ-008-026-017-071-820,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-13_at_11.38.58_AM.png?v=1423853729
smc-flash-drive,SMC Flash Drive,Support My Club,SMC Product,,https://cdn.shopify.com/s/files/1/0185/5504/products/2015-02-12_16.09.59.jpg?v=1423783077
smc-notepad,SMC Notepad,Support My Club,SMC Product,,https://cdn.shopify.com/s/files/1/0185/5504/products/2015-02-12_15.55.41.jpg?v=1423783290
smc-button,SMC Button,Support My Club,SMC Product,,https://cdn.shopify.com/s/files/1/0185/5504/products/2015-02-12_15.55.59.jpg?v=1423783236
smc-t-shirt,SMC T-Shirt,Support My Club,SMC Product,,https://cdn.shopify.com/s/files/1/0185/5504/products/2015-02-12_16.00.49.jpg?v=1423783512
smc-t-shirt,,,,,https://cdn.shopify.com/s/files/1/0185/5504/products/2015-02-12_16.01.22.jpg?v=1423783534
smc-t-shirt,,,,,
smc-t-shirt,,,,,
smc-tumbler,SMC Tumbler,Support My Club,SMC Product,,https://cdn.shopify.com/s/files/1/0185/5504/products/2015-02-12_15.51.39.jpg?v=1423783138
film,Film,Camelback High,Activities,AZ-008-018-005-050-819,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-11_at_12.56.55_PM.png?v=1423684644
camera-2,Polaroid Camera,Camelback High,Activities,AZ-008-018-005-050-141,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-11_at_12.51.38_PM.png?v=1423684458
camisole-leotard-1,Camisole Leotard,Tolleson Union High,Arts,AZ-008-023-053-022-220,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-11_at_12.34.48_PM.png?v=1423683316
dance-lyrical-sandal,Dance Lyrical Sandal,Tolleson Union High,Arts,AZ-008-023-053-022-818,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-11_at_12.20.46_PM.png?v=1423682529
jazz-shoes,Jazz Shoes,Tolleson Union High,Arts,AZ-008-023-053-022-430,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-11_at_12.09.15_PM.png?v=1423682359
spatula-set,Kitchen Tools Set,Phoenix Collegiate Academy,Activities,AZ-008-026-017-021-788,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-05_at_1.33.02_PM.png?v=1423168858
electric-griddle,Electric Griddle,Phoenix Collegiate Academy,Activities,AZ-008-026-017-021-817,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-05_at_1.25.38_PM.png?v=1423168228
disco-ball,Disco Ball,Metro Tech,Arts,AZ-008-018-013-071-816,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-04_at_1.20.05_PM.png?v=1423081358
t-shirts-pack-of-10,"T-Shirts, Pack of 10",Tolleson Union High,Activities,AZ-008-023-053-140-113,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-03_at_3.32.32_PM.png?v=1423002785
paint-2,Paint,Tolleson Union High,Activities,AZ-008-023-053-140-379,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-03_at_3.27.44_PM.png?v=1423002652
necklace-charms-pack-of-100,"Necklace Charms, Pack of 100",Tolleson Union High,Activities,AZ-008-023-053-140-752,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-03_at_3.22.04_PM.png?v=1423002331
necklace-cords-pack-of-6,"Necklace Cords, Pack of 6",Tolleson Union High,Activities,AZ-008-023-053-140-648,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-03_at_3.21.48_PM.png?v=1423002184
tea-lights-36-pack,"Tea Lights, 36 Pack",Tolleson Union High,Activities,AZ-008-023-053-140-755,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-02-03_at_3.07.37_PM.png?v=1423001610
storage-unit,Storage Unit,Trevor Browne,Arts,AZ-008-018-004-022-433,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-30_at_12.43.11_PM.png?v=1422647395
pants,Pants,Trevor Browne,Arts,AZ-008-018-004-022-222,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-30_at_12.32.31_PM.png?v=1422646652
shorts,Shorts,Trevor Browne,Arts,AZ-008-018-004-022-681,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-30_at_12.28.39_PM.png?v=1422646233
dress,Dress,Trevor Browne,Arts,AZ-008-018-004-022-815,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-30_at_12.21.29_PM.png?v=1422645807
mens-dance-shoes,Mens Dance Shoes,Trevor Browne,Arts,AZ-008-018-004-022-363,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-30_at_12.05.12_PM.png?v=1422645137
dance-shoes,Dance Shoes,Trevor Browne,Arts,AZ-008-018-004-022-430,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-08-24_at_2.47.40_PM.png?v=1440445776
undergarment-leotard,Undergarment Leotard,Trevor Browne,Arts,AZ-008-018-004-022-220,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-30_at_11.45.35_AM.png?v=1422643682
tights,Tights,Trevor Browne,Arts,AZ-008-018-004-022-814,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-30_at_11.31.33_AM.png?v=1422642968
hangers-pack-of-60,"Hangers, Pack of 60",Trevor Browne,Arts,AZ-008-018-004-022-281,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-30_at_11.11.02_AM.png?v=1422642097
boombox-1,Boombox,Trevor Browne,Arts,AZ-008-018-004-022-701,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-29_at_2.36.27_PM.png?v=1422567569
button-maker-1,Button Maker,Tolleson Union High,Activities,AZ-008-023-053-D-663,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-29_at_2.18.25_PM.png?v=1422566496
mens-blazer,Mens Blazer,Tolleson Union High,Academics,AZ-008-023-053-025-442,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-29_at_1.26.51_PM.png?v=1422563407
ladies-blazer,Ladies Blazer,Tolleson Union High,Academics,AZ-008-023-053-025-443,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-29_at_1.26.42_PM.png?v=1422563351
fbla-scarf,FBLA Scarf,Tolleson Union High,Academics,AZ-008-023-053-025-813,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-29_at_1.00.14_PM.png?v=1422561813
fbla-tie,FBLA Tie,Tolleson Union High,Academics,AZ-008-023-053-025-312,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-28_at_5.01.02_PM.png?v=1422489922
engineering-notebooks,Engineering Notebooks,Williams Field High,Academics,AZ-008-012-052-041-661,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-28_at_2.25.58_PM.png?v=1422480381
safety-glasses,Safety Glasses,Williams Field High,Academics,AZ-008-012-052-041-768,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-28_at_1.49.04_PM.png?v=1422479116
cooling-towels,Cooling Towels,McClintock High,Athletics,AZ-008-022-020-089-812,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-27_at_3.25.05_PM.png?v=1422398649
alignment-sticks-set-of-2,"Alignment Sticks, Set of 2",McClintock High,Athletics,AZ-008-022-020-089-811,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-27_at_3.24.55_PM.png?v=1422398489
golf-training-aide,Golf Training Aide,McClintock High,Athletics,AZ-008-022-020-089-653,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-27_at_3.24.43_PM.png?v=1422398324
driver,Driver,McClintock High,Athletics,AZ-008-022-020-089-810,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-27_at_3.24.21_PM.png?v=1422398190
dslr-lens-caps-pack-of-4,"DSLR Lens Caps, Pack of 4",Arcadia High,Academics,AZ-008-021-046-124-809,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-27_at_3.16.35_PM.png?v=1422397125
lens-caps-pack-of-5,"Lens Caps, Pack of 5",Arcadia High,Academics,AZ-008-021-046-124-808,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-27_at_2.55.29_PM.png?v=1422396489
xlr-cables-pack-of-10,"XLR Cables, Pack of 10",Arcadia High,Academics,AZ-008-021-046-124-807,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-27_at_2.55.19_PM.png?v=1422396315
lateral-resistor,Lateral Resistor,Thunderbird High,Athletics,AZ-008-011-037-045-293,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-26_at_10.24.59_AM.png?v=1422294187
kinetic-jump-trainer,Kinetic Jump Trainer,Thunderbird High,Athletics,AZ-008-011-037-045-653,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-26_at_10.24.39_AM.png?v=1422294032
robot-controller,Robot Controller,Metro Tech,Academics,AZ-008-018-013-041-806,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-23_at_2.17.41_PM.png?v=1422050227
battery-charger,Battery Charger,Metro Tech,Academics,AZ-008-018-013-041-805,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-23_at_2.17.31_PM.png?v=1422049663
power-connector-cable,Power Connector Cable,Metro Tech,Academics,AZ-008-018-013-041-689,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-23_at_2.17.25_PM.png?v=1422049539
batteries-set-of-2,"Batteries, Set of 2",Metro Tech,Academics,AZ-008-018-013-041-804,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-23_at_2.17.18_PM.png?v=1422049437
battery-cart,Battery Cart,Metro Tech,Academics,AZ-008-018-013-041-803,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-23_at_2.16.59_PM.png?v=1422049017
t-bracket-pack-of-4,"T Bracket, Pack of 4",Metro Tech,Academics,AZ-008-018-013-041-802,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-23_at_2.16.53_PM.png?v=1422048907
mount-bracket-pack-of-4,"Mount Bracket, Pack of 4",Metro Tech,Academics,AZ-008-018-013-041-801,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-23_at_2.16.48_PM.png?v=1422048666
90-degree-bracket,"90 Degree Bracket, Pack of 5",Metro Tech,Academics,AZ-008-018-013-041-800,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-23_at_2.16.42_PM.png?v=1422048541
aluminum-extrusion,Aluminum Extrusion,Metro Tech,Academics,AZ-008-018-013-041-799,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-23_at_2.16.33_PM.png?v=1422048373
motor-controller-1,Motor Controller,Metro Tech,Academics,AZ-008-018-013-041-070,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-23_at_2.16.27_PM.png?v=1422048256
card-reader-1,Card Reader,Franklin Police and Fire,Academics,AZ-008-018-010-039-520,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-22_at_3.44.18_PM.png?v=1421966905
nhs-graduation-cords,NHS Graduation Cords,Alhambra High,Academics,AZ-008-018-001-038-722,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-22_at_3.11.35_PM.png?v=1421965025
nhs-pins,NHS Pins,Alhambra High,Academics,AZ-008-018-001-038-650,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-22_at_3.11.42_PM.png?v=1421964908
pvc-pipe,PVC Pipe,Skyline,Athletics,AZ-008-014-023-103-798,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-22_at_2.26.22_PM.png?v=1421963599
agility-ladder-1,Agility Ladder,Skyline,Athletics,AZ-008-014-023-103-643,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-22_at_2.26.11_PM.png?v=1421963484
fishing-net,Fishing Net,Skyline,Athletics,AZ-008-014-023-103-797,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-22_at_2.26.02_PM.png?v=1421963395
kneeling-pads,Kneeling Pads,Skyline,Athletics,AZ-008-014-023-103-796,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-22_at_2.25.56_PM.png?v=1421963308
cones,Cones,Skyline,Athletics,AZ-008-014-023-103-645,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-22_at_2.25.48_PM.png?v=1421963209
water-bottles-1,"Water Bottles, Pack of 36",Skyline,Athletics,AZ-008-014-023-103-205,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-22_at_2.25.36_PM.png?v=1421963073
clipboard,Clipboard,Skyline,Athletics,AZ-008-014-023-103-552,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-22_at_2.25.29_PM.png?v=1421962845
whiteboard,Whiteboard,Skyline,Athletics,AZ-008-014-023-103-556,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-22_at_2.25.21_PM.png?v=1421962715
pens,Pens,Skyline,Athletics,AZ-008-014-023-103-795,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-22_at_2.25.13_PM.png?v=1421962474
spiral-notebooks,Spiral Notebooks,Skyline,Athletics,AZ-008-014-023-103-661,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-22_at_2.25.06_PM.png?v=1421962312
crepe-maker,Crepe Maker,Trevor Browne,Academics,AZ-008-018-004-082-794,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-21_at_12.41.31_PM.png?v=1421869565
mens-dress-shirt-1,Men's Dress Shirt,Fort Thomas,Academics,AZ-005-029-044-025-446,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-21_at_12.26.48_PM.png?v=1421868896
womens-dress-shirt,Women's Dress Shirt,Fort Thomas,Academics,AZ-005-029-044-025-444,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-21_at_12.26.59_PM.png?v=1421868694
belts,Belts,South,Athletics,AZ-008-018-015-046-675,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-21_at_10.57.15_AM.png?v=1421866736
outfielders-glove,Outfielder's Glove,South,Athletics,AZ-008-018-015-046-792,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-21_at_10.57.02_AM.png?v=1421866614
infielders-glove,Infielder's Glove,South,Athletics,AZ-008-018-015-046-793,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-21_at_10.56.53_AM.png?v=1421866476
softball-socks,Softball Socks,South,Athletics,AZ-008-018-015-046-260,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-21_at_10.56.46_AM.png?v=1421866293
softball-bat,Softball Bat,South,Athletics,AZ-008-018-015-046-711,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-21_at_10.56.18_AM.png?v=1421866155
rotary-cutting-mat,Rotary Cutting Mat,Tempe,Arts,AZ-008-022-030-066-791,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-16_at_2.23.23_PM.png?v=1421443965
rotary-cutter,Rotary Cutter,Tempe,Arts,AZ-008-022-030-066-790,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-16_at_2.23.32_PM.png?v=1421443845
yoga-mats-1,Yoga Mats,Tempe,Athletics,AZ-008-022-030-027-235,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-16_at_1.48.17_PM.png?v=1421443326
zumba-sticks,Zumba Sticks,Tempe,Athletics,AZ-008-022-030-027-462,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-16_at_1.47.57_PM.png?v=1421443186
dance-socks,Dance Socks,Tempe,Athletics,AZ-008-022-030-027-257,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-16_at_1.47.51_PM.png?v=1421442911
zumba-exercise-video,Zumba Exercise Video,Tempe,Athletics,AZ-008-022-030-027-789,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-16_at_1.47.40_PM.png?v=1421442795
exercise-pants,Exercise Pants,Tempe,Athletics,AZ-008-022-030-027-110,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-16_at_1.47.33_PM.png?v=1421442217
sports-bras-1,Sports Bras,Tempe,Athletics,AZ-008-022-030-027-247,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-16_at_1.47.23_PM.png?v=1421442022
water-bottle-1,Water Bottle,Tempe,Athletics,AZ-008-022-030-027-205,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-16_at_1.46.51_PM.png?v=1421441924
spanish-style-fan-pack-of-10,"Spanish Style Fan, Pack of 10",South,Activities,AZ-008-018-015-018-754,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-16_at_1.33.34_PM.png?v=1421440817
paint-brushes-1,Paintbrushes,Camelback High,Activities,AZ-008-018-005-050-464,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-16_at_1.14.12_PM.png?v=1421440283
plastic-storage-boxes,"Plastic Storage Boxes, Pack of 12",Camelback High,Activities,AZ-008-018-005-050-286,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-16_at_1.13.49_PM.png?v=1421440037
polo-shirts-1,Polo Shirts,Moon Valley,Activities,AZ-008-011-036-086-599,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-16_at_11.04.38_AM.png?v=1421432119
spatulas-set-of-5,"Spatulas, Set of 5",Washington,Activities,AZ-008-011-027-021-788,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-12_at_2.22.15_PM.png?v=1421098319
pastry-tips-set-of-24,"Pastry Tips, Set of 24",Washington,Activities,AZ-008-011-027-021-787,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-12_at_2.19.21_PM.png?v=1421098170
pastry-bags-set-of-10,"Pastry Bags, Set of 10",Washington,Activities,AZ-008-011-027-021-786,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-12_at_2.18.02_PM.png?v=1421098052
conference-registration-fees,Conference Registration Fees,Metro Tech,Academics,AZ-008-018-013-073-751,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_4.13.16_PM.png?v=1420845558
home-depot-gift-cards,Home Depot Gift Cards,Metro Tech,Arts,AZ-008-018-013-071-383,https://cdn.shopify.com/s/files/1/0185/5504/products/Home-Depot-Card.jpg?v=1420843279
speaker-wire,Speaker Wire,North High,Academics,AZ-008-018-014-041-785,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_3.29.11_PM.png?v=1420842778
calipers-1,Calipers,Arizona School for the Arts,Academics,AZ-008-026-019-041-488,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_3.26.28_PM.png?v=1420842491
mobile-tool-storage-cart,Mobile Tool Storage Cart,Arizona School for the Arts,Academics,AZ-008-026-019-041-213,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_3.20.54_PM.png?v=1420842273
allen-wrench-set,Allen Wrench Set,Arizona School for the Arts,Academics,AZ-008-026-019-041-784,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_3.18.49_PM.png?v=1420842014
chop-saw,Chop Saw,Arizona School for the Arts,Academics,AZ-008-026-019-041-783,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_3.02.40_PM.png?v=1420841049
locking-plier-set-of-3,"Locking Pliers, Set of 3",Arizona School for the Arts,Academics,AZ-008-026-019-041-782,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_3.00.12_PM.png?v=1420840836
workbench,Workbench,Arizona School for the Arts,Academics,AZ-008-026-019-041-781,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_2.42.56_PM.png?v=1420839873
tool-box,Tool Box,Arizona School for the Arts,Academics,AZ-008-026-019-041-780,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_2.37.03_PM.png?v=1420839678
deburring-tool,Deburring Tool,Arizona School for the Arts,Academics,AZ-008-026-019-041-779,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_2.35.03_PM.png?v=1420839354
files-set-of-3,"Files, Set of 3",Arizona School for the Arts,Academics,AZ-008-026-019-041-778,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_2.30.29_PM.png?v=1420839118
clamps-set-of-4,"Clamps, Set of 4",Arizona School for the Arts,Academics,AZ-008-026-019-041-777,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_2.28.39_PM.png?v=1420838990
vise,Vise,Arizona School for the Arts,Academics,AZ-008-026-019-041-776,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_2.26.37_PM.png?v=1420838871
rachet-set,Rachet Set,Arizona School for the Arts,Academics,AZ-008-026-019-041-775,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_2.25.44_PM.png?v=1420838769
hex-drivers,Hex Drivers,Arizona School for the Arts,Academics,AZ-008-026-019-041-774,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_2.18.25_PM.png?v=1420838480
training-tee,Training Tee,Copper Canyon High,Athletics,AZ-008-023-018-046-319,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_11.31.16_AM.png?v=1420828690
wheels-set-of-4,"Wheels, Set of 4",North High,Academics,AZ-008-018-014-041-773,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-01-09_at_11.22.02_AM.png?v=1420827937
